minute,n_samples,attention,focus,engagement,mentalFatigue,stress,relaxation,distraction,interest,excitement,thetaBeta,alphaBeta,rbp_theta_pct,rbp_alpha_pct,rbp_beta_pct,rbp_gamma_pct
0,121,18.79,20.311,21.358,74.041,35.138,53.661,79.389,24.481,31.769,5.6804,1.8433,56.705,22.204,13.38,7.71
1,119,18.779,19.941,21.001,72.329,33.517,54.331,79.731,23.772,30.237,6.0983,1.9743,56.27,23.518,13.282,6.929
2,121,23.712,23.589,26.521,70.032,36.406,53.064,74.28,29.245,35.6,5.3363,1.8133,52.721,23.469,15.178,8.631
3,120,23.942,23.362,27.085,69.266,35.956,53.239,73.736,29.981,36.737,5.779,1.864,52.06,23.87,14.899,9.171
4,120,28.401,27.549,32.368,67.852,40.452,51.336,68.574,35.681,43.413,3.8816,1.5145,47.827,23.687,17.087,11.399
5,120,29.086,28.014,32.605,65.901,39.215,51.797,68.334,35.52,42.322,3.8549,1.6449,46.882,25.055,17.57,10.493
6,119,26.666,25.844,29.618,66.589,37.262,52.64,71.254,32.285,38.507,4.5933,1.7635,49.154,25.202,16.515,9.129
7,121,19.337,19.95,21.534,72.644,33.56,54.215,79.172,24.066,29.974,10.1675,2.1539,57.072,22.787,13.198,6.944
8,120,24.195,24.652,27.274,71.029,38.881,52.017,73.576,30.367,37.584,4.8746,1.6055,52.308,22.66,15.725,9.306
9,119,27.037,25.008,30.369,64.117,34.996,53.666,70.529,33.22,39.872,4.3169,1.8998,47.38,27.104,15.894,9.622
10,15,24.986,25.234,28.434,69.766,38.664,52.053,72.439,31.665,39.202,3.8157,1.5974,50.427,23.536,15.886,10.151
