capturedAt,phase,signal,overallQuality,batteryPercent,connection,collecting,attention,focus,engagement,mentalFatigue,relaxation,stress,distraction,interest,excitement,thetaBeta,alphaBeta,betaAlpha,rbp_delta,rbp_theta,rbp_alpha,rbp_beta,rbp_gamma,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,ch_AF3,ch_F7,ch_F3,ch_FC5,ch_T7,ch_P7,ch_O1,ch_O2,ch_P8,ch_T8,ch_FC6,ch_F4,ch_F8,ch_AF4
2026-07-20T17:31:23.255515,text,0.9922,17.0,53.0,connected,True,19.2129,20.5485,22.5571,72.1988,54.3733,33.8758,78.2706,26.6092,36.0639,3.973676,1.765611,0.56637,0.0,0.536222,0.238258,0.134943,0.090577,0.0,3.23828571,1.43885714,0.81492857,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:23.725929,text,0.9922,17.0,53.0,connected,True,16.4306,18.4823,18.5369,72.3894,55.4551,31.1335,82.1772,21.6596,28.946,4.455205,1.963618,0.509258,0.0,0.561261,0.247374,0.125978,0.065387,0.0,4.55914286,2.00942857,1.02332143,0.53114286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:24.225,text,0.9922,17.0,53.0,connected,True,22.9646,22.2443,25.1036,59.2701,56.5967,28.1527,75.7884,27.5011,33.0953,3.050263,2.21744,0.450966,0.0,0.454371,0.330313,0.14896,0.066356,0.0,3.05692857,2.22228571,1.00217857,0.44642857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:24.721821,text,0.9922,17.0,53.0,connected,True,31.6721,27.3389,35.5127,52.7079,55.5881,30.791,65.5792,38.2765,44.7256,2.182727,1.990555,0.502368,0.0,0.379557,0.34614,0.17389,0.100413,0.0,1.99985714,1.82378571,0.91621429,0.52907143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:25.225887,text,0.9922,17.0,53.0,connected,True,24.613,24.0317,28.2682,63.7665,54.8479,32.6828,72.6952,31.8434,40.1856,2.988085,1.848124,0.541084,0.0,0.462473,0.286039,0.154771,0.096717,0.0,2.69142857,1.66464286,0.90071429,0.56285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:25.722932,text,0.9922,17.0,53.0,connected,True,17.0567,18.2573,19.4377,69.3768,56.3765,28.7346,81.3032,22.6606,30.1805,4.336991,2.164202,0.462059,0.0,0.538396,0.268665,0.124139,0.0688,0.0,4.7255,2.35807143,1.08957143,0.60385714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:26.221760,text,0.9922,17.0,53.0,connected,True,24.9557,26.4108,27.3437,66.6265,52.95,37.3587,73.5998,30.1734,36.7761,2.79257,1.551651,0.644469,0.0,0.481105,0.267319,0.172279,0.079296,0.0,3.47607143,1.93142857,1.24475,0.57292857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:26.730505,text,0.9922,17.0,53.0,connected,True,21.76,24.7369,23.731,71.7815,52.2191,39.0918,77.1271,26.5553,33.1452,3.223713,1.457797,0.685959,0.0,0.527134,0.238375,0.163517,0.070974,0.0,3.89657143,1.76207143,1.20871429,0.52464286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:27.220964,text,0.9922,17.0,53.0,connected,True,17.6017,17.9039,20.503,67.2818,57.0388,26.9752,80.2685,24.0453,32.3106,4.302973,2.331441,0.428914,0.0,0.520542,0.282041,0.120972,0.076446,0.0,3.392,1.83785714,0.78828571,0.49814286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:27.721641,text,0.9922,17.0,53.0,connected,True,9.1128,11.9804,10.2013,82.0867,56.2357,29.1046,90.2302,12.5886,18.1589,7.772954,2.131327,0.469183,0.0,0.683475,0.187407,0.087929,0.041188,0.0,10.98164286,3.01114286,1.41278571,0.66178571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:28.221700,text,0.9922,17.0,53.0,connected,True,5.028,7.4924,5.3691,86.6653,57.9629,24.4732,94.8697,6.5409,9.275,12.791566,2.60609,0.383708,0.0,0.764269,0.155708,0.059747,0.020276,0.0,24.38707143,4.9685,1.90646429,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:28.721510,text,0.9922,17.0,53.0,connected,True,8.4174,10.3838,9.9797,81.5382,57.6421,25.3479,90.4435,12.9785,19.9756,8.852257,2.504537,0.399268,0.0,0.681219,0.192735,0.076953,0.049093,0.0,9.41007143,2.66235714,1.063,0.67814286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:29.222267,text,0.9922,17.0,53.0,connected,True,8.3865,12.0193,9.2021,87.0296,53.5328,35.9497,91.1913,11.3354,16.3131,8.239545,1.633784,0.612065,0.0,0.730071,0.144763,0.088605,0.036562,0.0,13.14192857,2.60585714,1.59496429,0.65814286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:29.722161,text,0.9922,17.0,53.0,connected,True,5.7899,8.347,6.4615,87.596,56.622,28.0856,93.8227,8.2711,12.4935,11.712838,2.223686,0.449694,0.0,0.761254,0.144524,0.064992,0.02923,0.0,14.52121429,2.75685714,1.23975,0.55757143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:30.291116,text,0.9922,17.0,53.0,connected,True,13.4554,17.579,14.8755,82.1913,52.1388,39.2798,85.7224,17.7166,24.3459,5.313116,1.448048,0.690575,0.0,0.647266,0.176407,0.121823,0.054504,0.0,5.75035714,1.56721429,1.08228571,0.48421429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:30.723422,text,0.9922,17.0,53.0,connected,True,34.5176,30.0804,38.2975,52.5003,54.4752,33.621,62.8306,40.8723,46.88,1.94113,1.782804,0.560909,0.0,0.367851,0.337848,0.189503,0.104799,0.0,1.79264286,1.64642857,0.9235,0.51071429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:31.221009,text,0.9922,17.0,53.0,connected,True,30.2456,24.0701,34.6619,48.8439,57.4981,25.7385,66.4174,37.575,44.3721,2.366344,2.46122,0.406299,0.0,0.364936,0.379568,0.154218,0.101277,0.0,1.89021429,1.966,0.79878571,0.52457143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:31.722203,text,0.9922,17.0,53.0,connected,True,17.8437,19.8146,20.6718,73.8327,54.2609,34.156,80.1046,24.4542,33.2797,4.218955,1.746973,0.572412,0.0,0.556584,0.230469,0.131924,0.081023,0.0,2.88714286,1.1955,0.68432143,0.42028571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:32.221604,text,0.9922,17.0,53.0,connected,True,25.3541,29.7131,28.0038,76.5676,47.3707,49.6557,72.954,31.424,39.4042,2.768067,1.011765,0.988362,0.0,0.525405,0.192043,0.189808,0.092744,0.0,2.55335714,0.93328571,0.92242857,0.45071429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:32.721025,text,0.9922,17.0,53.0,connected,True,27.8609,29.1756,31.047,67.5494,51.268,41.2907,69.9715,34.3281,41.9839,2.515146,1.348721,0.741436,0.0,0.466145,0.249965,0.185334,0.098556,0.0,1.91385714,1.02628571,0.76092857,0.40464286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:33.220884,text,0.9922,17.0,53.0,connected,True,41.335,42.0833,45.2587,65.4766,45.1995,53.8872,55.9281,48.0132,54.4403,1.509247,0.875956,1.1416,0.0,0.384432,0.223122,0.254717,0.13773,0.0,1.21457143,0.70492857,0.80475,0.43514286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
